codigo,descripcion,activo
"21-0101-0001","INGRESOS TRIBUTARIOS IVA PAZ",true
"22-0101-0001","INGRESOS ORDINARIOS DE APORTE CONSTITUCIONAL",true
"29-0101-0002","IMPUESTO DE CIRCULACION DE VEHICULOS",true
"29-0101-0003","IMPUESTO PETROLEO Y DERIVADOS",true
"31-0101-0004","CONSEJO DE DESARROLLO URBANO Y RURAL",true
"31-0151-0001","INGRESOS PROPIOS MUNICIPALES",true
"31-0151-0002","IMPUESTO UNICO SOBRE INMUEBLES IUSI (POR ADMON. MUNICIPAL)",true
"32-0101-0003","SC - INGRESOS TRIBUTARIOS IVA-PAZ",true
"32-0101-0004","SC - INGRESOS ORDINARIOS DE APORTE CONSTITUCIONAL",true
"32-0101-0006","SC - IMPUESTO CIRCULACION DE VEHICULOS",true
"32-0101-0014","SC - INGRESOS TRIBUTARIOS IVA-PAZ",true
"32-0101-0015","SC - INGRESOS ORDINARIOS DE APORTE CONSTITUCIONAL",true
"32-0101-0017","SC - IMPUESTO CIRCULACION DE VEHICULOS",true
"32-0151-0001","SC - INGRESOS PROPIOS MUNICIPALES",true
"32-0151-0002","SC - IUSI FUNCIONAMIENTO (POR ADMON. MUNICIPAL)",true
"32-0151-0003","SC - IUSI INVERSION (POR ADMON. MUNICIPAL)",true
