grupo,subgrupo,renglon,concepto,activo
0,1,011,Personal permanente,true
0,1,012,Complemento personal al salario del personal permanente,true
0,1,013,Complemento por antigüedad al personal permanente,true
0,1,014,Complemento por calidad profesional al personal permanente,true
0,1,015,Complementos específicos al personal permanente,true
0,1,016,Complemento por transporte al personal permanente,true
0,1,017,Derechos escalafonarios,true
0,1,018,Complemento por diferencial cambiario al personal en el exterior,true
0,2,021,Personal supernumerario,true
0,2,022,Personal por contrato,true
0,2,023,Interinatos por licencias y becas,true
0,2,024,Complemento personal al salario del personal temporal,true
0,2,025,Complemento por antigüedad al personal temporal,true
0,2,026,Complemento por calidad profesional al personal temporal,true
0,2,027,Complementos específicos al personal temporal,true
0,2,028,Complemento por transporte al personal temporal,true
0,2,029,Otras remuneraciones de personal temporal,true
0,3,031,Jornales,true
0,3,032,Complemento por antigüedad al personal por jornal,true
0,3,033,Complementos específicos al personal por jornal,true
0,3,034,Complemento por transporte al personal por jornal,true
0,3,035,Retribuciones a destajo,true
0,3,036,Retribuciones por servicios,true
0,3,037,Retribuciones a juntas examinadoras,true
0,4,041,Servicios extraordinarios de personal permanente,true
0,4,042,Servicios extraordinarios de personal temporal,true
0,4,043,Servicios extraordinarios de personal por jornal,true
0,4,044,Servicios extraordinarios por turnos a médicos de guardia,true
0,5,051,Aporte patronal al IGSS,true
0,5,052,Aporte patronal al Intecap,true
0,5,053,Cuota por seguros sociales por personal en el exterior,true
0,5,054,Cuota recreacional,true
0,5,055,Aporte para clases pasivas,true
0,6,061,Dietas,true
0,6,062,Dietas para cargos representativos,true
0,6,063,Gastos de representación en el interior,true
0,6,064,Gastos de representación en el exterior,true
0,7,071,Aguinaldo,true
0,7,072,Bonificación anual (Bono 14),true
0,7,073,Bono vacacional,true
0,7,074,Compensación costo de vida por servicios en el exterior,true
0,7,079,Otras prestaciones,true
0,8,081,"Personal administrativo, técnico, profesional y operativo",true
1,11,111,Energía eléctrica,true
1,11,112,Agua,true
1,11,113,Telefonía,true
1,11,114,Correos y telégrafos,true
1,11,115,Extracción de basura y destrucción de desechos sólidos,true
1,11,116,Servicios de lavandería,true
1,12,121,Divulgación e información,true
1,12,122,"Impresión, encuadernación y reproducción",true
1,12,123,Divulgación de información de organizaciones políticas,true
1,13,131,Viáticos en el exterior,true
1,13,132,Viáticos de representación en el exterior,true
1,13,133,Viáticos en el interior,true
1,13,134,Compensación por kilómetro recorrido,true
1,13,135,Otros viáticos y gastos conexos,true
1,13,136,Reconocimiento de gastos,true
1,14,141,Transporte de personas,true
1,14,142,Fletes,true
1,14,143,Almacenaje,true
1,15,151,Arrendamiento de edificios y locales,true
1,15,152,Arrendamiento de tierras y terrenos,true
1,15,153,Arrendamiento de máquinas y equipos de oficina,true
1,15,154,Arrendamiento de maquinaria y equipo de construcción,true
1,15,155,Arrendamiento de medios de transporte,true
1,15,156,Arrendamiento de otras máquinas y equipo,true
